numero_run,collimatore131x,collimatore131y,collimatore386x,collimatore386y
21213,-3,3,-3,3
21214,-3,3,-3,3
21215,-3,3,-3,3
21216,-3,3,-3,3
21217,-3,3,-3,3
21218,-3,3,-3,3
21219,-3,3,-3,3
21221,-3,3,-3,3
21222,-3,3,-3,3
21223,-3,3,-3,3
21224,-3,3,-3,3
21225,-3,3,-3,3
21226,-3,3,-3,3
21227,-3,3,-3,3
21228,-3,3,-3,3
21229,-3,3,-3,3
21230,-3,3,-3,3
21231,-3,3,-3,3
21232,-3,3,-3,3
21233,-3,3,-3,3
21234,-3,3,-3,3
21235,-3,3,-3,3
